City,Cloudiness_%,Country,Date,Humidity_%,Lat,Lng,Max Temp_F,Wind Speed_mph
mataura,11.0,NZ,1573954732.0,58.0,-46.19,168.86,59.0,8.01
hailey,5.0,US,1573954732.0,41.0,43.52,-114.32,42.8,3.36
punta arenas,75.0,CL,1573954732.0,66.0,-53.16,-70.91,48.2,25.28
olafsvik,0.0,AU,1573954733.0,40.0,-33.64,115.35,80.01,11.39
busselton,9.0,NZ,1573954734.0,91.0,-35.17,173.16,71.01,17.07
ahipara,93.0,GL,1573954734.0,79.0,65.61,-37.64,28.4,14.99
tasiilaq,90.0,RU,1573954734.0,100.0,55.82,37.87,39.2,6.71
vostochnyy,90.0,CA,1573954734.0,84.0,62.45,-114.38,8.01,4.7
yellowknife,42.0,ID,1573954734.0,39.0,-6.99,112.52,94.68,5.3
tabiauea,0.0,BR,1573954734.0,83.0,-22.97,-42.02,71.51,11.21
lasem,100.0,GL,1573954734.0,95.0,77.48,-69.36,6.06,5.95
arraial do cabo,10.0,CF,1573954346.0,31.0,10.3,22.78,71.31,5.14
qaanaaq,51.0,PF,1573954346.0,82.0,-23.12,-134.97,75.36,6.73
birao,100.0,GY,1573954346.0,96.0,8.2,-59.78,72.75,1.32
rikitea,96.0,ZA,1573954346.0,77.0,-34.53,20.04,59.0,5.82
belushya guba,0.0,BR,1573954735.0,95.0,-1.82,-44.87,73.24,2.3
mabaruma,40.0,AU,1573954735.0,33.0,-42.88,147.33,62.01,18.34
bredasdorp,100.0,RU,1573954735.0,91.0,62.1,126.7,-9.74,8.01
cururupu,1.0,US,1573954735.0,55.0,36.85,-121.4,66.2,2.64
hobart,90.0,CA,1573954735.0,85.0,55.74,-97.86,17.6,8.05
berdigestyakh,90.0,US,1573954736.0,83.0,19.71,-155.08,78.8,4.7
hollister,93.0,KM,1573954736.0,84.0,-11.38,43.28,80.2,4.7
thompson,100.0,BY,1573954736.0,93.0,54.51,30.43,44.67,9.06
hilo,75.0,US,1573954736.0,78.0,60.79,-161.76,10.4,18.34
mitsamiouli,0.0,AU,1573954736.0,15.0,-23.58,149.07,100.08,14.76
umzimvubu,100.0,PH,1573954736.0,78.0,10.18,122.9,79.47,5.41
orsha,99.0,RU,1573954736.0,98.0,70.62,147.9,-2.85,5.26
bethel,89.0,RU,1573954737.0,95.0,67.55,63.78,11.95,8.39
bluff,80.0,KI,1573954737.0,73.0,3.07,172.79,83.66,11.41
cabanbanan,90.0,US,1573954737.0,32.0,39.31,-74.98,45.0,11.41
chokurdakh,100.0,GL,1573954737.0,37.0,60.91,-46.05,37.4,35.57
komsomolskiy,75.0,MU,1573954737.0,83.0,-20.01,57.66,75.99,12.75
butaritari,100.0,AU,1573954737.0,24.0,-20.07,146.27,93.97,2.59
port elizabeth,1.0,US,1573954469.0,53.0,42.65,-73.75,24.01,6.93
ransang,98.0,ZA,1573954738.0,95.0,-33.59,26.89,64.0,1.99
marcona,63.0,RU,1573954738.0,62.0,50.68,156.12,23.22,0.83
pietarsaari,75.0,JP,1573954738.0,48.0,35.73,140.83,61.0,14.99
narsaq,0.0,RU,1573954738.0,64.0,69.49,88.39,-4.0,11.18
grand gaube,1.0,US,1573954676.0,57.0,41.15,-96.04,55.4,8.05
charters towers,0.0,BR,1573954627.0,77.0,-28.24,-48.67,68.0,8.05
albany,0.0,CN,1573954738.0,27.0,39.77,98.29,18.39,5.01
port alfred,0.0,NO,1573954342.0,78.0,70.86,29.09,29.7,14.0
severo-kurilsk,33.0,ID,1573954739.0,73.0,-9.65,120.26,82.06,1.9
hasaki,0.0,BR,1573954739.0,87.0,-2.92,-39.92,75.49,5.77
talnakh,100.0,CN,1573954739.0,41.0,42.78,124.11,36.19,1.1
papillion,40.0,GY,1573954728.0,88.0,6.8,-58.16,80.6,6.93
imbituba,75.0,AR,1573954739.0,81.0,-54.81,-68.31,48.2,6.93
jiayuguan,100.0,RU,1573954739.0,100.0,66.83,70.83,-10.61,15.46
berlevag,40.0,ZA,1573954739.0,63.0,-33.93,18.42,61.0,19.46
waingapu,21.0,UY,1573954739.0,87.0,-33.69,-53.46,66.33,3.24
itarema,100.0,CN,1573954740.0,54.0,42.18,127.48,36.3,4.45
changtu,1.0,US,1573954405.0,76.0,30.04,-94.42,50.0,3.33
georgetown,49.0,AU,1573954740.0,53.0,-34.72,135.86,62.01,10.07
ushuaia,42.0,AU,1573954740.0,15.0,-33.21,138.6,78.57,1.36
yar-sale,100.0,CM,1573954740.0,92.0,3.52,15.05,69.57,2.35
cape town,14.0,AR,1573954740.0,43.0,-46.43,-67.52,59.94,29.73
chuy,40.0,JP,1573954740.0,67.0,33.72,135.99,62.6,5.82
grand river south east,75.0,MU,1573954740.0,83.0,-20.41,57.7,75.99,12.75
songjianghe,90.0,RU,1573954741.0,93.0,59.7,30.79,37.99,6.71
nome,0.0,ZA,1573954741.0,80.0,-30.97,22.13,56.57,12.64
port lincoln,91.0,RU,1573954741.0,96.0,69.3,139.9,-4.4,3.42
jamestown,75.0,IT,1573954446.0,59.0,41.89,12.48,68.0,28.86
yokadouma,0.0,RU,1573954741.0,73.0,45.66,40.76,41.58,13.69
mar del plata,45.0,RU,1573954741.0,100.0,68.75,161.3,-9.17,0.6
bengkulu,2.0,NO,1573954741.0,67.0,70.03,20.97,30.47,17.45
shingu,75.0,BN,1573954537.0,79.0,5.28,115.24,84.2,2.24
mahebourg,84.0,NE,1573954742.0,16.0,15.46,6.28,79.32,7.02
nikolskoye,90.0,CA,1573954742.0,88.0,49.23,-100.06,32.0,18.34
palabuhanratu,40.0,PT,1573954554.0,67.0,33.08,-16.33,64.4,6.93
carnarvon,93.0,RU,1573954742.0,88.0,71.98,102.47,-13.16,1.14
deputatskiy,100.0,BR,1573954742.0,78.0,-15.95,-54.98,73.45,1.77
roma,66.0,AU,1573954743.0,42.0,-12.05,134.23,93.61,13.35
dmitriyevskaya,100.0,RU,1573954743.0,95.0,64.57,143.24,-5.69,5.17
cherskiy,84.0,CA,1573954608.0,81.0,43.74,-81.71,24.01,14.0
skjervoy,90.0,CL,1573954744.0,100.0,-41.87,-73.83,51.8,16.11
victoria,66.0,MG,1573954744.0,77.0,-13.19,49.05,78.93,9.55
abalak,75.0,RU,1573954744.0,77.0,56.73,85.44,6.01,22.37
boissevain,20.0,AU,1573954744.0,45.0,-34.85,139.16,71.01,13.87
camacha,100.0,PG,1573954358.0,70.0,-2.67,141.3,84.42,8.14
khatanga,79.0,IN,1573954745.0,88.0,15.34,74.49,68.0,9.91
jaciara,61.0,NZ,1573954745.0,58.0,-46.13,167.69,59.0,8.01
maningrida,100.0,PT,1573954745.0,75.0,38.52,-28.7,59.77,9.33
ust-nera,40.0,QA,1573954531.0,64.0,25.29,51.53,78.8,4.7
goderich,20.0,CA,1573954602.0,68.0,43.26,-79.87,30.2,19.46
ancud,0.0,TR,1573954745.0,40.0,37.32,40.72,53.6,9.17
illoqqortoormiut,40.0,PT,1573954745.0,76.0,37.8,-25.58,55.4,6.93
ambilobe,47.0,BR,1573954745.0,88.0,-20.63,-46.0,66.69,5.17
oktyabrskoye,90.0,CL,1573954745.0,100.0,-42.48,-73.76,51.8,16.11
palmer,90.0,MX,1573954746.0,78.0,20.71,-105.21,80.6,2.24
vanimo,62.0,RO,1573954746.0,58.0,46.07,23.79,57.2,6.93
rungata,62.0,ML,1573954746.0,33.0,22.68,-3.98,61.02,6.58
vaini,0.0,FO,1573954746.0,80.0,62.23,-6.59,39.2,4.7
tuatapere,100.0,CG,1573954747.0,99.0,-0.49,15.91,70.63,2.37
ribeira grande,40.0,VN,1573954747.0,88.0,12.24,109.19,80.6,2.24
doha,90.0,ES,1573954747.0,100.0,42.77,-9.06,55.0,4.7
hamilton,90.0,CA,1573954747.0,72.0,63.75,-68.52,15.8,8.05
mardin,90.0,RO,1573954747.0,100.0,44.0,26.12,53.01,6.93
rabo de peixe,0.0,PY,1573954156.0,65.0,-26.98,-56.83,67.19,6.87
ponta do sol,100.0,GL,1573954747.0,60.0,72.79,-56.15,14.92,9.8
castro,75.0,VU,1573954747.0,51.0,-19.55,169.27,84.2,11.41
saleaula,0.0,UY,1573954748.0,89.0,-34.48,-54.34,60.53,3.02
ixtapa,95.0,RU,1573954748.0,96.0,63.2,75.45,0.79,11.7
lolua,90.0,AU,1573954748.0,54.0,-37.83,140.78,59.0,10.29
amderma,100.0,EE,1573954748.0,96.0,59.1,26.19,43.39,9.91
ohaba,40.0,CO,1573954748.0,69.0,3.22,-75.22,80.6,4.52
taoudenni,75.0,JP,1573954748.0,67.0,33.93,134.5,60.8,5.82
klaksvik,5.0,US,1573954748.0,89.0,35.04,-89.66,44.6,4.7
owando,78.0,BR,1573954749.0,91.0,-8.27,-72.74,66.52,1.5
nha trang,90.0,US,1573954749.0,87.0,36.62,-121.92,66.2,9.08
muros,40.0,BR,1573954749.0,78.0,-3.98,-38.73,80.6,8.05
iqaluit,100.0,RU,1573954749.0,92.0,57.31,88.17,3.69,9.78
gostinu,92.0,KZ,1573954749.0,94.0,51.81,68.36,17.1,8.37
barentsburg,28.0,CA,1573954749.0,74.0,46.12,-70.67,12.0,5.01
san patricio,40.0,PH,1573954749.0,83.0,18.56,120.79,82.4,12.75
upernavik,1.0,PF,1573954750.0,73.0,-9.8,-139.03,79.83,12.66
isangel,0.0,CN,1573954750.0,18.0,42.84,93.51,21.2,1.05
rocha,4.0,PF,1573954750.0,82.0,-16.48,-151.75,79.99,13.4
noyabrsk,78.0,RU,1573954750.0,92.0,69.7,170.27,2.37,5.48
mount gambier,100.0,NZ,1573954579.0,26.0,-43.53,172.64,75.99,13.87
vao,0.0,SY,1573954750.0,19.0,34.45,40.92,55.15,18.32
villavieja,93.0,ZA,1573954750.0,75.0,-33.02,27.91,67.68,8.23
katsuura,3.0,CK,1573954750.0,69.0,-21.21,-159.78,80.6,11.41
collierville,99.0,BR,1573954751.0,94.0,-3.38,-68.87,72.93,1.36
sentyabrskiy,0.0,AF,1573954751.0,39.0,36.41,64.91,42.01,3.44
porto walter,75.0,CL,1573954751.0,82.0,-39.81,-73.25,55.4,4.7
pacific grove,75.0,US,1573954751.0,78.0,22.08,-159.32,84.2,16.11
papara,90.0,CA,1573954209.0,93.0,54.32,-130.32,51.8,16.11
teguldet,12.0,BW,1573954751.0,17.0,-20.47,22.7,76.64,5.79
atbasar,0.0,RU,1573954752.0,87.0,73.51,80.55,-11.29,7.74
saint-georges,90.0,CA,1573954752.0,66.0,48.39,-77.24,14.0,6.93
pagudpud,40.0,CA,1573954752.0,83.0,69.44,-133.03,-11.2,6.93
samusu,90.0,CA,1573954752.0,86.0,56.19,-117.61,36.0,6.93
atuona,55.0,NU,1573954547.0,69.0,-19.06,-169.92,80.6,10.29
hami,75.0,GR,1573954752.0,100.0,39.45,22.34,53.6,0.31
faanui,100.0,GL,1573954752.0,37.0,60.72,-46.03,37.4,35.57
pevek,90.0,AU,1573954753.0,58.0,-37.84,145.39,63.0,17.22
christchurch,42.0,PH,1573954753.0,65.0,17.54,120.52,84.07,4.81
abu kamal,100.0,GL,1573954753.0,84.0,60.14,-45.24,32.25,37.29
east london,54.0,CN,1573954367.0,55.0,29.72,112.52,68.02,11.9
avarua,100.0,CZ,1573954753.0,86.0,50.47,14.53,44.01,3.36
vaitupu,94.0,ET,1573954753.0,97.0,7.26,36.25,53.91,0.78
odweyne,40.0,AI,1573954471.0,83.0,18.22,-63.06,80.6,5.82
sao paulo de olivenca,20.0,CA,1573954753.0,75.0,68.22,-135.01,-14.8,2.24
dzhusaly,100.0,RU,1573954753.0,88.0,64.42,-173.23,17.53,9.98
dawlatabad,1.0,US,1573954368.0,37.0,39.0,-77.4,41.0,5.82
valdivia,96.0,MX,1573954754.0,74.0,25.08,-108.06,81.0,1.99
kapaa,0.0,PY,1573954754.0,33.0,-22.35,-60.04,73.71,8.08
prince rupert,1.0,US,1573954651.0,64.0,33.79,-117.85,77.0,6.93
sehithwa,40.0,PA,1573954754.0,83.0,8.46,-82.28,80.6,4.7
dikson,75.0,JM,1573954754.0,100.0,17.88,-76.41,77.0,13.87
senneterre,1.0,CA,1573954754.0,66.0,45.36,-73.48,17.01,2.24
tuktoyaktuk,14.0,HT,1573954754.0,71.0,18.56,-74.26,79.86,2.64
grimshaw,9.0,TH,1573954755.0,78.0,17.1,100.84,75.2,1.7
alofi,1.0,US,1573954755.0,74.0,21.44,-157.84,86.0,8.05
saint george,97.0,PH,1573954755.0,78.0,11.0,122.67,83.88,8.39
sahrak,88.0,GY,1573954755.0,63.0,3.36,-59.84,83.12,4.7
qaqortoq,75.0,AT,1573954755.0,93.0,48.64,13.53,43.0,2.24
olinda,75.0,NP,1573954753.0,93.0,27.71,85.32,57.2,2.24
san quintin,40.0,TO,1573954756.0,65.0,-18.65,-173.98,80.6,5.82
nanortalik,40.0,AU,1573954756.0,60.0,-32.59,151.78,82.99,18.34
dongsheng,75.0,CA,1573954756.0,80.0,53.65,-115.58,33.8,6.93
vidim,75.0,CA,1573954756.0,71.0,70.47,-68.59,5.0,9.17
bonga,1.0,US,1573954661.0,35.0,43.66,-70.25,26.01,15.84
the valley,13.0,AR,1573954498.0,47.0,-45.87,-67.48,68.0,25.28
aklavik,100.0,CN,1573954757.0,52.0,37.16,122.42,61.0,1.01
provideniya,40.0,EC,1573954684.0,64.0,-0.74,-90.35,75.2,12.75
sterling,96.0,KZ,1573954757.0,78.0,53.8,64.15,25.93,8.99
la reforma,1.0,US,1573954757.0,45.0,39.95,-94.76,50.0,8.05
filadelfia,65.0,AR,1573954757.0,59.0,-38.31,-60.23,57.97,8.72
orange,77.0,ZA,1573954757.0,92.0,-34.42,19.24,59.0,13.89
rincon,1.0,US,1573954757.0,47.0,45.22,-112.64,37.4,9.17
morant bay,100.0,PT,1573954757.0,90.0,41.42,-6.55,37.15,5.46
saint-philippe,10.0,CA,1573954758.0,77.0,66.15,-65.72,6.6,3.18
moron,69.0,AU,1573954758.0,58.0,-16.99,145.42,90.0,8.05
nakhon thai,90.0,NL,1573954758.0,93.0,52.96,4.76,44.6,11.41
ahuimanu,29.0,SD,1573954758.0,34.0,14.2,24.66,65.01,4.7
dingle,0.0,RU,1573954758.0,91.0,57.84,108.35,-12.32,1.48
formoso do araguaia,30.0,CL,1573954758.0,93.0,-25.41,-70.49,55.2,0.47
bonfim,0.0,AU,1573954758.0,47.0,-20.74,116.85,84.2,8.57
karaul,20.0,ET,1573954758.0,71.0,8.96,38.73,51.8,3.36
nizhneyansk,88.0,PG,1573954373.0,69.0,-2.02,147.27,85.57,9.78
louisbourg,90.0,US,1573954759.0,81.0,44.56,-123.26,55.0,3.36
wanning,38.0,SO,1573954759.0,79.0,7.98,49.82,78.91,23.58
kathmandu,0.0,TR,1573954759.0,71.0,40.73,31.61,45.9,2.39
neiafu,46.0,MG,1573954759.0,80.0,-24.69,44.75,72.82,16.37
paradwip,100.0,RU,1573954759.0,95.0,65.99,60.32,21.0,10.36
clarence town,100.0,US,1573954759.0,48.0,37.17,-99.65,53.01,1.99
mackay,100.0,CD,1573954759.0,99.0,0.52,25.21,70.41,2.35
clyde river,83.0,GL,1573954760.0,50.0,65.42,-52.9,25.14,15.19
portland,1.0,US,1573954760.0,41.0,43.97,-111.68,42.8,4.7
comodoro rivadavia,90.0,CA,1573954760.0,86.0,52.64,-114.24,33.8,8.05
rongcheng,100.0,CA,1573954760.0,95.0,50.56,-96.99,30.99,15.99
puerto ayora,0.0,NO,1573954760.0,80.0,61.99,5.14,33.8,4.7
borovskoy,2.0,TL,1573954760.0,25.0,-8.93,125.41,87.51,9.17
guajara-mirim,30.0,MY,1573954761.0,71.0,2.43,103.84,82.81,6.6
kodiak,0.0,GL,1573954761.0,52.0,69.22,-51.1,17.6,28.86
barrow,44.0,VN,1573954761.0,67.0,22.48,103.95,78.01,2.08
hermanus,13.0,MX,1573954761.0,79.0,20.3,-89.42,62.44,2.46
dillon,100.0,DE,1573954761.0,94.0,50.67,13.08,37.0,1.12
saldanha,90.0,US,1573954761.0,100.0,55.34,-131.65,51.8,26.4
pangnirtung,0.0,GL,1573954762.0,64.0,66.94,-53.67,11.07,11.65
mareeba,40.0,MX,1573954762.0,72.0,28.39,-105.62,60.01,0.78
den helder,86.0,FR,1573954569.0,93.0,43.3,5.37,51.01,3.36
kutum,90.0,CO,1573954762.0,70.0,5.66,-67.63,84.2,4.7
alekseyevsk,100.0,ZA,1573954762.0,95.0,-33.31,26.53,64.0,1.99
taltal,20.0,BR,1573954762.0,78.0,-7.47,-34.81,78.8,8.05
karratha,75.0,JP,1573954762.0,74.0,24.8,125.28,78.8,14.99
lebu,90.0,CA,1573954531.0,60.0,50.1,-91.92,39.2,9.17
lorengau,75.0,NO,1573954762.0,92.0,78.22,15.63,30.2,3.36
corvallis,99.0,SE,1573954489.0,87.0,58.59,16.18,46.4,12.75
eyl,0.0,BR,1573954763.0,67.0,-30.17,-50.22,67.37,8.57
bolu,100.0,CN,1573954763.0,58.0,36.62,101.77,23.92,15.14
ampanihy,100.0,RU,1573954763.0,97.0,71.97,114.09,-6.93,6.67
verkhnyaya inta,90.0,US,1573954690.0,81.0,45.26,-122.69,54.0,0.94
sitka,0.0,TC,1573954763.0,70.0,21.46,-71.14,81.68,8.72
taolanaro,100.0,BR,1573954763.0,86.0,-13.02,-42.7,72.37,3.76
kisangani,33.0,SA,1573954764.0,42.0,17.54,44.22,64.4,0.98
maniitsoq,12.0,MG,1573954764.0,83.0,-25.17,45.06,72.68,12.44
saint anthony,40.0,CO,1573954764.0,100.0,-3.77,-70.38,77.0,1.25
rimbey,31.0,PF,1573954764.0,82.0,-16.7,-151.02,80.11,14.67
husavik,100.0,RU,1573954764.0,70.0,59.36,143.24,17.44,18.77
raudeberg,40.0,IT,1573954764.0,56.0,38.04,12.59,71.6,24.16
odemis,17.0,PH,1573954764.0,67.0,8.0,124.29,78.93,4.18
airai,0.0,IN,1573954764.0,93.0,26.91,80.51,60.8,3.36
tumannyy,97.0,NZ,1573954764.0,69.0,-46.28,169.85,59.0,8.01
mersing,100.0,ID,1573954765.0,81.0,4.14,96.13,78.64,6.06
ilulissat,91.0,NO,1573954765.0,70.0,59.92,5.78,39.99,3.36
lao cai,100.0,BO,1573954765.0,72.0,-16.98,-65.13,75.58,1.9
oxkutzcab,48.0,CL,1573954765.0,87.0,-29.95,-71.34,59.0,4.7
warmbad,100.0,PK,1573954219.0,28.0,25.26,63.48,69.04,3.8
ketchikan,0.0,IN,1573954765.0,69.0,12.75,78.34,75.99,4.76
sisimiut,70.0,CN,1573954765.0,58.0,29.3,113.14,70.38,10.11
lazaro cardenas,20.0,CA,1573954766.0,84.0,49.78,-74.86,-2.2,3.36
marseille,1.0,US,1573954766.0,51.0,39.62,-77.74,34.0,6.93
puerto ayacucho,58.0,NA,1573954766.0,23.0,-22.45,18.97,72.73,14.23
grahamstown,40.0,AU,1573954766.0,33.0,-42.78,147.06,62.01,18.34
pitimbu,85.0,RU,1573954766.0,97.0,60.35,102.28,-22.16,3.02
hirara,100.0,RU,1573954766.0,93.0,62.26,151.67,-8.97,4.14
sioux lookout,52.0,RU,1573954767.0,77.0,65.58,-170.99,22.5,16.33
longyearbyen,60.0,RU,1573954342.0,95.0,66.32,-179.17,4.41,10.33
karauzyak,100.0,CA,1573954767.0,97.0,60.75,-137.51,25.68,3.24
norrkoping,40.0,BR,1573954767.0,78.0,-3.71,-38.6,80.6,8.05
cidreira,20.0,JP,1573954767.0,39.0,43.32,145.57,30.2,16.11
xining,90.0,CA,1573954767.0,85.0,54.77,-101.88,23.0,10.29
saskylakh,100.0,SL,1573954767.0,85.0,7.53,-12.5,78.71,7.23
canby,75.0,AO,1573954745.0,83.0,-8.83,13.24,78.8,6.93
cockburn town,90.0,FR,1573954768.0,100.0,45.6,-0.6,36.0,1.45
macaubas,100.0,ZA,1573954768.0,86.0,-34.05,23.37,58.77,7.16
najran,90.0,CA,1573954768.0,92.0,55.1,-105.3,24.8,9.17
beloha,0.0,MV,1573954609.0,76.0,5.67,73.0,82.11,12.03
puerto narino,75.0,AU,1573954768.0,42.0,-28.95,153.24,86.0,6.93
fare,97.0,MV,1573954768.0,78.0,-0.6,73.08,82.02,16.08
okhotsk,20.0,PT,1573954532.0,82.0,38.73,-27.07,59.0,11.86
erice,84.0,BR,1573954690.0,81.0,-32.03,-52.1,66.99,12.75
marawi,75.0,US,1573954768.0,83.0,60.55,-151.26,34.0,11.39
auras,0.0,GE,1573954769.0,44.0,41.96,42.96,51.8,26.4
kaitangata,1.0,US,1573954769.0,43.0,40.97,-117.74,50.0,5.82
meulaboh,75.0,DZ,1573954769.0,93.0,36.39,4.4,46.4,18.34
hellvik,90.0,AU,1573954769.0,47.0,-31.43,152.91,84.0,6.93
attawapiskat,43.0,GF,1573954769.0,96.0,4.27,-54.38,72.43,1.3
chimore,75.0,IN,1573954770.0,78.0,15.86,73.64,80.6,4.7
coquimbo,40.0,PT,1573954770.0,76.0,37.73,-25.67,55.4,6.93
pasni,90.0,EE,1573954770.0,93.0,59.37,24.93,43.0,9.17
kuppam,56.0,RU,1573954770.0,94.0,63.59,53.93,22.12,6.85
guozhen,0.0,LK,1573954770.0,79.0,7.42,81.82,81.0,5.5
